,name,name_description,name_category,name_gender
10,Salomon,"Salomon – imię męskie pochodzenia semickiego. Pochodzi od hebr. imienia  שְׁלֹמֹה (Shelomo) należącego do słynnego z mądrości króla Izraela – Salomona. Istnieje kilku świętych katolickich o tym imieniu[1]. 
",hebrew,male
11,Sieciesława,"Sieciesława, Siecsława, Siecława, Siesława – jest to albo staropolskie imię żeńskie, złożone z członu Siecie- (""rozumieć, przypomnieć sobie, domyślać się, czuć, spostrzegać"") i -sława (""sława""), które może oznaczać ""domyślająca się przyszłej sławy"", lub też neologizm i jego pochodne, powstały z imienia Sieciech, kiedy świadomość pochodzenia tego imienia zatarła się i błędnie zostało ono uznane za imię kończące się członem -sław (zamiast -ciech). W źródłach polskich poświadczone jako Sieciesława (XII wiek), Siecsława (1395), Siesława (1497).
",slavic,female
12,Sieciesław,"Sieciesław, Siecsław, Siecław, Siesław – jest to albo staropolskie imię męskie, złożone z członu Siecie- (""rozumieć, przypomnieć sobie, domyślać się, czuć, spostrzegać"") i -sław (""sława""), które może oznaczać ""domyślający się przyszłej sławy"", lub też neologizm i jego pochodne, powstały z imienia Sieciech, kiedy świadomość pochodzenia tego imienia zatarła się i błędnie zostało ono uznane za imię kończące się członem -sław (zamiast -ciech).
",slavic,male
13,Sieciebor,"Sieciebor, Sietbor – staropolskie imię męskie, złożone z członu Siecie- (""rozumieć, przypomnieć sobie, domyślać się, czuć, spostrzegać"") i -bor (""walczyć, zmagać się""), które może oznaczać ""przeczuwający przyszłą walkę"".
",slavic,male
14,Siężyr,"Siężyr, Sężyr – staropolskie imię męskie, złożone z członów Się- (Sę-) i -żyr (""pokarm, czynnosć jedzenia, życie""). 
",slavic,male
15,Sędziwuj,"Sędziwuj — staropolskie imię męskie, złożone z dwóch członów: Sędzi- (""sądzić"") i -wuj (""wuj""). Do końca XV wieku imię to zanotowano u około 1500 osób, a więc należało ono do najpopularniejszych w Polsce obok Stanisława i Więcesława[1]. Prawdopodobnie jego pomorskim wariantem jest imię Sędowin.
",slavic,male
16,Sędzisława,"Sędzisława – staropolskie imię żeńskie, złożone z członu Sędzi- (""sądzić"") oraz członu -sława (""sława""). Być może oznaczało ""ta, której sądzona jest sława"".
",slavic,female
17,Harald,"Harald – imię męskie pochodzenia staroangielskiego/nordyckiego.
",other,male
18,Haralampiusz,"Haralampiusz, Charłamp — imię męskie pochodzenia greckiego (Χαραλαμπος). Powstało ze słów χαρα (chara) oznaczającego ""szczęście"" i λαμπω (lampo) - ""błyszczeć, lśnić"" i oznacza ""jaśniejącego szczęściem"". 
",greek,male
19,Hezychiusz,"Hezychiusz – imię męskie pochodzenia greckiego, oznaczające „spokojny”. Wśród patronów tego imienia – Hezychiusz Antiocheński, męczennik (III-IV wiek).
",greek,male
20,Heron,"Heron – imię męskie pochodzenia greckiego wywodzące się od wyrazu pospolitego hērōs, co oznacza ""mocny, silny, bohater"", przejęte do łaciny jako Ero // Hero // Heron[1]. 
",greek,male
21,Hermogenes,"Hermogenes - imię męskie pochodzenia greckiego, zapisywane ‘Ερμογενης. Oznacza ""urodzony z Hermesa"" (od imienia Hermes oraz słowa γενης - genes 'urodzony'). Imię to nosił XVII-wieczny święty pochodzący z Rosji Hermogen, patriarcha Moskwy i inni święci.
",greek,male
22,Hermiona,"Hermiona – imię żeńskie pochodzenia greckiego (gr. ‘Ερμιονη), pochodzące od imienia boga Hermesa, znane z mitologii greckiej[1], w której Hermiona była córką Heleny i Menelaosa. Postać o tym imieniu występuje także w Zimowej opowieści Williama Szekspira.
",greek,female
23,Hersylia,"Hersylia – imię żeńskie o niejasnej etymologii, pochodzące z mitologii rzymskiej, w której Hersilia była żoną Romulusa. W Polsce imię to nosiła m.in. Hersylia Januszewska, córka ojczyma Juliusza Słowackiego, Augusta Bécu, która poślubiła wuja Słowackiego, Teofila Januszewskiego (brata Salomei Januszewskiej, matki Słowackiego).
",other,female
24,Huberta,"Huberta - żeński odpowiednik imienia Hubert
",german,female
25,Hubert,"Hubert – imię męskie pochodzenia germańskiego. Tłumaczy się jako «człowiek wyróżniający się rozumem» (człon hugu oznacza «umysł, rozum», natomiast beraht – «sławny»).
",german,male
26,Hortensjusz,"Hortensjusz - imię męskie pochodzenia łacińskiego. Wywodzi się od słowa oznaczającego ""ogrodnik"". Pochodzi od nazwiska rzymskiego rodu Hortensjuszy. Patronem tego imienia jest św. Hortensjusz, biskup.
",latin and romanic,male
27,Hygin,"Hygin – imię męskie pochodzenia greckiego. Imię wywodzi się od słowa hygieinos oznaczającego ""zdrowy"".
",greek,male
28,Humbert,"Humbert – imię męskie pochodzenia germańskiego.  Wywodzi się od złożenia słów hun – ""wojownik"" i beraht – ""słynny"".  Oryginalnie było imieniem normandzkim. Za pośrednictwem Normandów jego użycie rozszerzyło się na Anglię i Włochy, gdzie nosiło je dwóch królów. Istnieją też święci o tym imieniu.
",german,male
29,Hugona,"Hugona – żeński wariant imienia Hugo, które powstało przez skrócenie germańskich imion ze składnikiem hugu (rozum, umysł), co oznacza ""człowiek rozumny, bystry"".
",german,female
30,Hugo,"Hugo, Hugon – imię męskie, które powstało przez skrócenie germańskich imion ze składnikiem hugu (rozum, umysł), co oznacza ""człowiek rozumny, bystry"".
",german,male
31,Sylwina,"Sylwina – łacińskie imię żeńskie, żeński odpowiednik imienia Sylwin[1],  które zostało utworzone od Sylwiusza przy pomocy przyrostka -inus, który wskazywał na pochodzenie od kogoś lub zdrabniał[2]. Imię to nadawane jest w Polsce co najmniej od 1827 roku[3].
",latin and romanic,female
32,Sylwin,"Sylwin – łacińskie imię męskie[1], utworzone od męskiego Sylwiusz przy pomocy przyrostka -inus, który wskazywał na pochodzenie od kogoś lub zdrabniał. W Kościele katolickim istniało czterech świętych o tym imieniu[2]. Sylwin nadawany jest w Polsce co najmniej od 1847 roku[3].
",latin and romanic,male
33,Sylwia,"Sylwia (łac. Silvia) – żeński odpowiednik imienia Sylwiusz, pochodzenia łacińskiego, oznaczające „leśna, dzika, żyjąca w lesie”. Były dwie święte o tym imieniu. 
",latin and romanic,female
34,Szczęsna,"Szczęsna — staropolskie[1] imię żeńskie. Wywodzi się od słowa ""szczęśliwa"". Żeński odpowiednik imienia Szczęsny; jest uważana za odpowiednik znaczeniowy łacińskiego imienia Feliksa, Felicja. Patronem tego imienia jest św. Zygmunt Szczęsny Feliński
",slavic,female
35,Szczepan,"Szczepan – imię męskie. Pierwotna spolonizowana forma greckiego imienia Stefan, przejęta do polszczyzny w czasach najdawniejszych, jeszcze przed ustaleniem się w języku polskim spółgłoski f – która była wówczas zastępowana przez [p] lub [b] (tę drugą w zapożyczeniach niemieckich lub w wyrazach przejętych za niemieckim pośrednictwem) – w brzmieniu Szczepan i dopiero wtórnie sprowadzona do języka polskiego w brzmieniu Stefan[1]. 
",greek,male
36,Szaweł,"Szaweł, Saul – imię męskie pochodzenia hebrajskiego (šā'ūl ""uproszony, pożądany"").
",hebrew,male
37,Syzyniusz,"Syzyniusz – imię męskie o niejasnej etymologii. Być może jest to imię łacińskie pochodzące od miejscowości Sisenna w Dalmacji lub zgrecyzowana forma dzierżawna utworzona od imienia boga Sisennesa. Kościół katolicki notuje około 10 świętych o tym imieniu i jednego papieża.
",latin and romanic,male
38,Szymona,"Szymona (hebr. שמעון Szim'eon – ""Bóg wysłuchał"") – imię żeńskie, żeński odpowiednik imienia Szymon, pochodzenia biblijnego. Innym, bardziej rozpowszechnionym w Polsce żeńskim odpowiednikiem imienia Szymon jest Ksymena, zapośredniczona przez język hiszpański. 
",hebrew,female
39,Humbelina,"Humbelina – imię żeńskie pochodzenia łacińskiego, od umbria - ""cień"". W Polsce imię to nosiła m.in. Humbelina Kurdwanowska z Potockich (XVIII wiek).
",latin and romanic,female
40,Szczęsny,"Szczęsny – imię męskie pochodzenia polskiego, po raz pierwszy notowane w 1422 roku[1]. Wywodzi się od słowa „szczęśliwy”[2] i jest uważane za odpowiednik znaczeniowy łacińskiego imienia Feliks. Patronem tego imienia jest święty Zygmunt Szczęsny Feliński, wspominany 17 września.
",slavic,male
41,Dżesika,"Dżesika, Jessica – imię żeńskie o prawdopodobnie hebrajskiej etymologii.
",hebrew,female
42,Dziwisław,"Dziwisław – staropolskie imię męskie. Składa się z członu Dziwi- (""patrzeć z zachwytem"", ""podziw, zachwyt"") i -sław (""sława""). Mogło oznaczać ""tego, który sławi zachwyt"" lub in.
",slavic,male
43,Dzirżywuj,"Dzirżywuj  –  staropolskie imię męskie, złożone z członów Dzirży- (""trzymać"") i -wuj (""wuj"").
",slavic,male
44,Dziwigor,"Dziwigor – staropolskie imię męskie. Składa się z członu Dziwi- (""patrzeć z zachwytem"", ""podziw, zachwyt"") i -gor (""goreć, palić się""). Mogło oznaczać ""tego, który patrzy z zachwytem na ogień"".
",slavic,male
45,Dzirżyterg,"Dzirżyterg  –  staropolskie imię męskie, pojedynczo poświadczone na Śląsku, złożone z członów Dzirży- (""trzymać"") i -terg o nieznanym pochodzeniu (może przekształcenie członu -tęg – ""mocny"" albo -targ).
",slavic,male
46,Dziesława,"Dziesława, Dzisława –  staropolskie imię żeńskie, złożone z członów Dzie- (""położyć, postawić""; ""zrobić, uczynić""; także ""rzec, powiedzieć"") i -sława (""sława""). Mogło oznaczać ""ta, która buduje sławę"".
",slavic,female
47,Dziesław,"Dziesław, Dzisław  –  staropolskie imię męskie, złożone z członów Dzie- (""położyć, postawić""; ""zrobić, uczynić""; także ""rzec, powiedzieć"") i -sław (""sława""). Mogło oznaczać ""ten, który buduje sławę"".
",slavic,male
48,Dzierżykraj,"Dzierżykraj, Dzirżykraj  –  staropolskie imię męskie, złożone z członów Dzirży- (""trzymać"") i -kraj (""kraj""). Oznaczało prawdopodobnie ""tego, który panuje nad krajem"", ""nad okolicą"".
",slavic,male
49,Dziadumiła,"Dziadumiła – staropolskie imię żeńskie, złożone z członów Dziadu- (""dziadowi, przodkowi"") i -miła (""miła""). Oznaczało ""miła swojemu dziadkowi"".
",slavic,female
50,Dyzma,"Dyzma - imię męskie pochodzenia greckiego, od gr. δυσμη (dysmai, dysme) - zachód słońca lub gwiazd, narodzony o zachodzie. Imię to przypisywane jest tradycyjnie dobremu łotrowi - ukrzyżowanemu po prawej stronie Chrystusa, złoczyńcy, który nawrócił się i zmarł skruszony. 
",greek,male
51,Dziebor,"Dziebor  –  staropolskie imię męskie, złożone z członów. Dzie- (""położyć, postawić""; ""zrobić, uczynić""; także ""rzec, powiedzieć"") i -bor (""walka"", ""walczyć""). Mogło oznaczać ""ten, który walczy"".
",slavic,male
52,Dytwin,"Dytwin, (Detwin) — imię męskie pochodzenia germańskiego (niem. Dietwin), złożone z członów: Diet- (germ. þeudo, stsas. thioda, stwniem. diot) — ""lud"" oraz -win (stwniem., stsas. wini) — ""przyjaciel"" i oznaczające ""przyjaciel ludu""[1]. W Polsce imię to notowano od 1251 roku w formie (Detwin) i od 1365 w formie Dytwin[2]. Od imienia pochodzi nazwa polskiej miejscowości Dziecinów[potrzebny przypis].
",german,male
53,Dzierżysław,"Dzierżysław, Dzirżysław, Dziersław, Dzirsław  –  staropolskie imię męskie, złożone z członów Dzierży- (""trzymać"") i -sław (""sława""). Oznaczało prawdopodobnie ""tego, który posiada sławę"".
",slavic,male
54,Dydym,"Dydym, Dydymus – imię męskie pochodzenia greckiego, oznaczające ""podwójny, bliźniaczy"". Istnieje trzech świętych katolickich o tym imieniu.
",greek,male
55,Dydak,"Dydak – imię męskie pochodzenia greckiego, które oznacza „nauczający”, od gr. διδαχή (didache) (zob. też: dydaktyka). Prawdopodobnie hiszpańskie imię Diego, od imienia Jakuba (Santiago - Sanctus Iacobus; Diego, Diago) lub jako pochodzące z greki, ze słowa didax- 'doktryna, dyscyplina nauki'[1]. Nie można też wykluczyć iberyjskiego (przedindoeuropejskiego) pochodzenia imienia. Patronem imienia jest św. Dydak, biskup Kadyksu. W dawnej Polsce imię to było znacznie bardziej znane, niż obecnie. 
",greek,male
56,Dzirżysława,"Dzirżysława, Dziersława, Dzirsława, Dzierżysława  –  staropolskie imię żeńskie, złożone z członów Dzirży- (""trzymać"") i -sława (""sława""). Oznaczało prawdopodobnie ""tę, która posiada sławę"". W źródłach polskich poświadzone jako Dzirżysława (XII wiek), Dziersława (1400 rok).
",slavic,female
57,Dula,"Dula – żeński odpowiednik imienia Dulas[1], imię żeńskie pochodzenia celtyckiego, oznaczające ""bliźniaczka""[2]. W średniowiecznej Polsce, w 1497 r. została odnotowana ta nazwa osobowa[3], jednak w tym przypadku o niepewnej etymologii (może od prasł. *dulěti – ""stawać się tłustym"" lub gdula, prasł. kъdulja – ""rodzaj gruszek""), z formami pochodnymi Dul, Dulaj, Dulak, Dulek, Dulka, Dulna[4].    
",other,female
58,Druzus,"Druzus – imię męskie pochodzenia łacińskiego, wywodzące się od rzymskiej nazwy rodowej.  
",latin and romanic,male
59,Ezechiel,"Ezechiel – imię męskie pochodzenia biblijnego. Wywodzi się od hebrajskiego imienia Jechezkel (hebr. יחזקאל) oznaczającego Bóg umacnia. 
Ezechiel był jednym z najważniejszych proroków Starego Testamentu. Kościół katolicki notuje kilku świętych lub błogosławionych o tym imieniu.
",hebrew,male
60,Druzjanna,"Druzjanna – imię żeńskie, utworzone od nazwy rodowej rzymskiej rodziny – Drusus. Patronką imienia jest święta z apokryfu o Janie Ewangeliście. W średniowieczu poświadczona jako Drużyjan(n)a. Imię to było używane w Polsce częściej około XV–XVIII wieku, potem dosyć rzadkie. Nosiła je siostra przyrodnia Jana Kochanowskiego, po mężu Tynicka.
",other,female
61,Ewodiusz,"Ewodiusz — zlatynizowane imię męskie pochodzenia greckiego, złożone z członów eu- (""dobry"") i hodos- (""droga""), i oznaczające ""człowiek dobrej drogi, mający powodzenie"". Kościół katolicki notuje sześciu świętych o tym imieniu[1].
",greek,male
62,Ewelina,"Ewelina – imię żeńskie.
",other,female
63,Ewodia,"Ewodia — imię żeńskie pochodzenia greckiego, żeński odpowiednik imienia Ewodiusz, złożonego z członów eu- (""dobry"") i hodos- (""droga""), i oznaczającego ""człowiek dobrej drogi, mający powodzenie"". Ewodia jest wspomniana w liście św. Pawła do Filipian. Kościół katolicki notuje sześciu świętych Ewodiuszów — patronów tego imienia. 
",greek,female
64,Dunstan,"Dunstan — imię męskie pochodzenia staroangielskiego, oznaczające ""ciemny kamień"", złożone z członów dun — ""ciemny"" i stan — ""kamień"". Patronem tego imienia jest święty Dunstan, arcybiskup Canterbury (X wiek).
",other,male
65,Ewald,"Ewald — imię męskie pochodzenia germańskiego. Wywodzi się ze złożenia słów eo — ""prawo"" i wald — ""rządzić"", ""panować"". Jego znaczenie można interpretować jako ""panujący sprawiedliwie, w zgodzie z prawem"". Patronami tego imienia są bracia śwśw. Ewald Biały i Ewald Czarny (VII wiek), wspominani 3 października. 
",german,male
66,Ewaryst,"Ewaryst – imię męskie pochodzenia greckiego, które oznacza miły, przyjemny, najlepszy. Imię to nadawane jest w Polsce co najmniej od XVII w. Istnieje kilku świętych Ewarystów, m.in. Ewaryst, papież oraz św. Ewaryst z Konstantynopola.
Obce formy: Evarist (ogólnie przyj. forma), Evaristus (ang., niem.), Évariste (fr.), Evaristo (hiszp.), Aristo, Evaristo (wł.), Evarest (ros.), Evaristas (litew.), Evaristos (gr.), Evariszt, Evarisztusz (węg.). Żeńskim odpowiednik: Ewarysta.
",greek,male
67,Ewangelina,"Ewangelina – imię żeńskie pochodzenia greckiego. Powstało ze złożenia ευ - ""dobry"" oraz αγγελμα (angelma) - ""wiadomość, wieść, przesłanie"" i oznacza ""dobra nowina"". 
",greek,female
68,Ewarysta,"Ewarysta - żeński odpowiednik imienia Ewaryst.
",greek,female
69,Ezdrasz,"Ezdrasz — biblijne imię męskie pochodzenia hebrajskiego. Wywodzi się od hebr. ezerā, ezerāh — ""[Bóg jest] pomocą"", aram. ezrā — ""pomoc""[1]. Po raz pierwszy w Polsce imię to zostało zanotowane w XIV wieku w formie Esdras. 
",hebrew,male
70,Ewa,"Ewa – imię żeńskie, które pierwszy raz pojawia się 2000 lat p.n.e. w języku ludów sumeryjskich jako „Awa” gdzie oznacza „życie”.
W języku hebrajskim, który zapożyczył to imię od Sumerów wywodzi się od rdzenia חוה hajja lub hawwa – i również oznacza 'dająca życie'. Imię wyprowadzane też z arabskiego słowa hajja 'wąż'.
",hebrew,female
71,Euzebiusz,"Euzebiusz – imię męskie pochodzenia greckiego eusébeios. Pierwotnie przymiotnik ten użyty został dla określenia jednego z miesięcy na cześć cesarza rzymskiego Antonina Piusa[1]. Wywodzi się od słowa oznaczającego ""bogobojny"", ""święty"". 
",greek,male
72,Euzebia,"Euzebia – żeński odpowiednik imienia Euzebiusz, wywodzi się od greckiego eusébeia – pobożność.
",greek,female
73,Eutymiusz,"Eutymiusz — imię męskie pochodzenia greckiego, od gr. Ευθυμιος (Euthymios), które oznaczało: ""w dobrym nastroju"", wywodząc się od słowa ευθυμος (euthymos), stanowiącego złożenie członów ευ - ""dobry"" i θυμος (thymos) ""dusza, duch"". Imię to nosili liczni święci.
",greek,male
74,Eutychian,"Eutychian — zlatynizowane imię męskie pochodzenia greckiego, oznaczające ""pochodzący od Eutychiusza, należący do Eutychiusza"". Wśród patronów — św. Eutychian, papież, wspominany w Kościele katolickim 8 grudnia[1]. 
",greek,male
75,Eutychia,"Eutychia – imię żeńskie pochodzenia greckiego. Wywodzi się od greckiego imienia Ευτυχιος (Eutychios), które powstało od greckiego ευτυχης (eutyches) ""ta, której fortuna sprzyja"". Patronką tego imienia jest św. Eutychia, zm. w Tesalonikach w IV wieku.
",greek,female
76,Eutyches,"Eutychiusz, Eutyches – imię męskie pochodzenia greckiego. Wywodzi się od greckiego imienia Ευτυχιος (Eutychios), które powstało od greckiego ευτυχης (eutyches) ""ten, któremu fortuna sprzyja"". Imię to nosiło wielu świętych.
",greek,male
77,Eutropiusz,"Eutropiusz – imię męskie pochodzenia greckiego. Wywodzi się od słowa eutropus oznaczającego ""zmienny"" lub ""zdolny do dostosowania się"". W Kościele katolickim patronem tego imienia jest m.in. św. Eutropiusz, lektor, zm. w 404 roku, wspominany razem ze św. Tygriuszem. Znany jest również męczennik Kościoła Wschodniego o tym samym imieniu - Eutropiusz.
",greek,male
78,Eutropia,"Eutropia - imię żeńskie pochodzenia greckiego, dość rozpowszechnione w Rzymie cesarskim. Składa się z członów: eu- – dobry i -trópos – obyczaj, i oznacza ""niewiasta dobrych obyczajów"". Istnieje kilka świętych katolickich o tym imieniu[1].
",greek,female
79,Eustazja,"Eustazja – imię żeńskie pochodzenia greckiego, stanowiące żeński odpowiednik imion Eustazjusz, Eustazy. Wśród patronów tego imienia – św. Eustazjusz, biskup Neapolu.
",greek,female
80,Eustachy,"Eustachy – imię męskie pochodzenia greckiego, którego znaczenie można objaśnić jako „kwitnący”, „płodny”. Imię to nosił męczennik Eustachy Rzymski, święty Kościoła katolickiego i prawosławnego[1]. 
",greek,male
81,Eustachiusz,"Eustachiusz - imię męskie pochodzenia greckiego. Wywodzi się od słów eu ""dobrze"" oraz stáchys ""owoc"", sens imienia można objaśniać jako ""płodny, kwitnący"". Oboczna męska forma: Eustachy. 
",greek,male
82,Eupsychia,"Eupsychia – imię żeńskie pochodzenia greckiego. Oznacza ""tę, która ma dobrą duszę"".
",greek,female
83,Eutychiusz,"Eutychiusz, Eutyches – imię męskie pochodzenia greckiego. Wywodzi się od greckiego imienia Ευτυχιος (Eutychios), które powstało od greckiego ευτυχης (eutyches) ""ten, któremu fortuna sprzyja"". Imię to nosiło wielu świętych.
",greek,male
84,Eunomia,"Eunomia – imię żeńskie pochodzenia greckiego, złożone z członów eu – ""dobry, dobrze"", i nomos – ""prawo"", co się tłumaczy jako ""praworządność"". Imię to nosiła jedna z Hor, greckich bogiń strzegących ładu między ludźmi i rytmem natury (dwie pozostałe to Dike i Ejrene – Irena). Patronką tego imienia w Kościele katolickim jest św. Eunomia, zm. w 304 roku.
",greek,female
85,Eunika,"Eunika, Eunice – imię żeńskie pochodzenia greckiego, składające się ze słów eu ""dobrze"" i níke ""zwycięstwo"". Imię rozsławił Henryk Sienkiewicz, który nadał je w powieści Quo vadis Eunice, ukochanej Petroniusza.
",greek,female
86,Eulogia,"Eulogia – imię żeńskie pochodzenia greckiego. Posiada licznych św. patronów.
",greek,female
87,Myślidar,"Myślidar –  staropolskie imię męskie, złożone z członów Myśli- (""myśleć"") i -dar (""upominek, dar, ofiara""). Być może oznaczało ""tego, który myśli o ofierze"" albo ""o darach"".
",slavic,male
88,Eustachia,"Eustachia - żeński odpowiednik imion Eustachy i Eustachiusz. 
",greek,female
89,Eupsychiusz,"Eupsychiusz – imię męskie pochodzenia greckiego. Oznacza ""tego, który ma dobrą duszę"".
",greek,male
90,Eulogiusz,"Eulogiusz – imię męskie pochodzenia greckiego. Wśród patronów – św. Eulogiusz, diakon Tarragony, spalony na stosie w 259, św. Eulogiusz, biskup Edessy (zm. w 383), św. Eulogiusz z Kordoby, męczennik, ścięty w 859, a także św. Eulogiusz Aleksandryjski, patriarcha Aleksandrii zm. w 608.
",greek,male
91,Myślibora,"Myślibora –  staropolskie imię żeńskie, złożone z członów Myśli- (""myśleć"") i -bor-a (""walczyć, zmagać się""). Być może oznaczało ""tę, która myśli o walce"" albo ""tę, która obmyśla walkę"".
",slavic,female
92,Myślibor,"Myślibor — staropolskie imię męskie, złożone z członów Myśli- (""myśleć"") i -bor (""walczyć, zmagać się""). Być może oznaczało ""tego, który myśli o walce"" albo ""tego, który obmyśla walkę"".   
",slavic,male
93,Mysław,"Mysław  – imię męskie, które powstało prawdopodobnie poprzez zlanie się dwóch członów końcowych staropolskich imion: członu -mysł (""myśleć"") i -sław (""sława, sławić""), kiedy świadomość ich pochodzenia zatarła się.
",slavic,male
94,Mścisława,"Mścisława – staropolskie imię żeńskie, złożone z dwóch członów: Mści- (""mścić"") i -sława (""sława""). Mogło oznaczać ""tę, która zdobywa sławę mszcząc się na swych wrogach"". Poświadczone w źródłach jako Mścisława (1360) i formach zdrobniałych Mścicha (1394), Mścichna (1383).
",slavic,female
95,Mściwuj,"Mściwuj, Mściuj — staropolskie imię męskie, złożone z dwóch członów: Mści- (""mścić"") i -wuj (""wuj"")[1]. 
",slavic,male
96,Mściwoj,"Mściwoj, Mszczujwoj – słowiańskie imię męskie, złożone z członów „mścić (się)” i „woj”, oznaczające prawdopodobnie tego, który ""mści swoich współtowarzyszy"". Jego pomorskim odpowiednikiem może być Miestwin. Na temat etymologii patrz również wyjaśnienia pod hasłem Mściwój I.
",slavic,male
97,Gwisław,"Gwisław – imię męskie, będące neologizmem utworzonym poprzez dodanie do imienia Gwido typowej dla imion słowiańskich końcówki -sław. Imię to zostało zanotowane w 1347 roku.
",slavic,male
98,Myślimir,"Myślimir –  staropolskie imię męskie, złożone z członów Myśli- (""myśleć"") i -mir (""pokój, spokój, dobro""). Być może oznaczało ""tego, który obmyśla pokój"" albo ""tego, który myśli o pokoju"".
",slavic,male
99,Mścisław,"Mścisław – staropolskie imię męskie, złożone z dwóch członów: Mści- (""mścić""), od psł. *mьstiti (sę) - mścić (się), *mьstь/*mьsta, stpl. msta - zemsta, pomsta i -sław (""sława""). Mogło oznaczać ""tego, który zdobywa sławę mszcząc się na swych wrogach"".
",slavic,male
100,Mścigniew,"Mścigniew – staropolskie imię męskie. Oznacza: ten, który mści, zwalcza swój gniew. Wspomniane w dokumentach z 1234 roku. Mścigniew imieniny obchodzi 19 grudnia.
",slavic,male
101,Gwidona,"Gwidona - imię żeńskie pochodzenia germańskiego; żeński odpowiednik imienia Gwido. Wywodzi się od słowa witu oznaczającego ""drzewo, las"". Wśród patronów - bł. Maria Gwidona od Miłosierdzia Bożego, siostra sakramentka, wspominana razem z bł. Marią Stellą i towarzyszkami.
",german,female
102,Gwidon,"Gwido, Gwidon – imię męskie pochodzenia germańskiego. Wywodzi się od słowa witu oznaczającego „drzewo”, „las” i stanowi skróconą formę germańskich imion dwuczłonowych z pierwszym członem Witu-, takich jak Widukind. Jego polskim odpowiednikiem byłoby imię Lasota[1]. Do Polski trafiło za pośrednictwem języków romańskich. Na jego podstawie powstało imię Gwisław. Forma Gwidon powstała pod wpływem łacińskim. W dokumentach polskich spotyka się formę Gwido już w 1155 roku.
",german,male
103,Gwendalina,"Gwendalina, Gwendolina – imię żeńskie pochodzenia walijskiego, oznaczające ""biały pierścień"", złożone z elementów gwen – ""biała, prawidłowa, błogosławiona"" i dolen – ""pierścień"". Patronką tego imienia jest św. Gwendalina (VI wiek). Zdrobnieniem imienia jest Winnie i Wendy.
",other,female
104,Gwendalina,"Gwendalina, Gwendolina – imię żeńskie pochodzenia walijskiego, oznaczające ""biały pierścień"", złożone z elementów gwen – ""biała, prawidłowa, błogosławiona"" i dolen – ""pierścień"". Patronką tego imienia jest św. Gwendalina (VI wiek). Zdrobnieniem imienia jest Winnie i Wendy.
",other,female
105,Mucjusz,"Mucjusz — imię męskie pochodzenia łacińskiego, od łac. mutus, oznaczające ""cichy, spokojny"". Istnieje kilku świętych o tym imieniu. 
",latin and romanic,male
106,Gustawa,"Gustawa — żeński odpowiednik starogermańskiego imienia Gustaw.
",german,female
